特征名称,重要性
RealPower_-1q,597.0
dayofyear,192.0
hour,153.0
RealPower_-2q,151.0
RealPower_-3q,103.0
year,93.0
RealPower_-4q,74.0
RealPower_-8q,58.0
RealPower_-5q,57.0
RealPower_-7q,57.0
RealPower_-6q,55.0
clouds_all,53.0
RealPower_-9q,52.0
RealPower_-24q,50.0
rain_1h,43.0
RealPower_-10q,42.0
RealPower_-19q,38.0
RealPower_-22q,38.0
RealPower_-13q,37.0
RealPower_-23q,35.0
humidity,34.0
RealPower_-12q,33.0
temp_-12h,32.0
RealPower_-20q,30.0
RealPower_-11q,29.0
RealPower_-17q,29.0
RealPower_-18q,29.0
rain_1h_-3h,29.0
RealPower_-14q,28.0
temp_min,27.0
RealPower_-16q,26.0
RealPower_-21q,26.0
rain_1h_-2h,26.0
RealPower_-15q,25.0
humidity_-1h,24.0
humidity_-3h,22.0
clouds_all_-1h,22.0
dayofmonth,21.0
temp_max,20.0
humidity_-2h,20.0
rain_1h_-1h,20.0
clouds_all_-3h,20.0
wind_deg,19.0
wind_deg_-3h,18.0
clouds_all_-2h,18.0
wind_deg_-2h,17.0
month,16.0
feels_like,16.0
temp_-10h,16.0
dayofweek,14.0
pressure,14.0
wind_speed,14.0
temp_-7h,14.0
feels_like_-12h,14.0
wind_speed_-2h,13.0
temp_-6h,11.0
temp_-9h,11.0
temp_-11h,11.0
feels_like_-5h,11.0
feels_like_-6h,11.0
temp_min_-1h,11.0
feels_like_-1h,10.0
feels_like_-9h,10.0
temp_min_-2h,10.0
temp_min_-3h,10.0
wind_deg_-1h,10.0
quarter,9.0
weather_main_-3h,9.0
pressure_-2h,9.0
wind_speed_-1h,9.0
temp_-2h,8.0
temp_-5h,8.0
pressure_-1h,8.0
feels_like_-4h,7.0
feels_like_-11h,7.0
temp_max_-2h,7.0
wind_speed_-3h,7.0
temp,6.0
weather_main,6.0
weather_main_-1h,6.0
feels_like_-7h,6.0
feels_like_-10h,6.0
temp_max_-1h,6.0
pressure_-3h,6.0
rain_3h_-2h,6.0
weather_main_-2h,5.0
feels_like_-2h,5.0
feels_like_-8h,5.0
rain_3h_-1h,5.0
rain_3h,4.0
temp_-8h,4.0
feels_like_-3h,4.0
temp_-1h,3.0
temp_max_-3h,3.0
rain_3h_-3h,3.0
temp_-3h,2.0
temp_-4h,2.0
